Nations,Feeling of Responsibility,Good Manners,Hard Work,Imagination,Independence,Perseverance,Tolerance,Unselfishness
Albania (1),"68,2",,"63,6","28,9","57,2","52,9",80,"11,8"
"Algeria (1,282)",58,"17,1","66,9","12,2","25,7","17,5",54,"16,5"
"Argentina (1,28)","76,6","17,4","56,8","23,5","36,3","22,2","70,4","12,7"
"Bosnia-Herzegovina (1,2)","73,8",,"53,8","26,8","56,3","46,1","71,7","37,6"
"Canada (1,931)",77,,"52,7",33,"62,3",48,"80,6","45,1"
"Chile (1,2)","84,2",,"25,9","35,7","52,7","43,7",76,"34,2"
China (1),"63,6",,"85,8","35,3","74,1",16,"72,6",37
"Indian Union (2,002)","67,6",,"84,9","28,1","56,2","46,4","63,2","36,6"
Indonesia (1),"82,1","14,4","66,7","28,9","76,6","43,7","62,9","47,3"
"Iran IR (2,532)",72,"11,2","62,1",11,"53,2","28,4",59,"28,9"
"Israel (1,199)","65,5","23,4","24,2","22,8","68,6","30,7","81,9",49
"Japan (1,362)","90,7",,"27,1","34,5","81,8",69,"71,2","53,2"
"Jordan (1,223)","65,4","4,9","44,8","5,4","22,3","16,9","67,3","31,7"
"Korea Republic (1,2)","92,3",,"71,6","33,4","77,3","42,4","64,7","14,7"
"Mexico (1,535)","76,8",,"30,1","24,4","42,3","32,9","70,6","49,5"
"Nigeria (2,022)","33,1","5,3","80,2","10,9",26,"22,9","59,1","23,3"
Pakistan (2),"50,2","33,1","56,2","7,3","12,7","29,4",53,"38,2"
"Peru (1,501)","78,9",,"59,3","22,9","38,6","33,5","72,6","50,3"
"Saudi Arabia (1,502)","56,9","28,8","41,9","31,1",70,"40,2","56,4","52,4"
"Singapore (1,512)","83,6",,"63,7","13,5","74,7","39,9","69,8","29,6"
Viet Nam (1),"70,3",,"75,5","20,2","56,4","49,5","67,9","39,3"
South Africa (3),"59,2",,"75,3",20,"62,5","41,9","74,1","29,2"
"Spain (1,209)","80,1",,"68,9","25,2","44,4","30,8",77,20
"Sweden (1,014)","86,9",,"3,9","40,4","68,8","29,2","92,5","32,7"
"Turkey (3,401)","62,7","7,9","74,3",23,"15,7","20,4","64,3","20,4"
"North Macedonia (1,055)","74,1",,"36,9","13,2","58,7","42,6","75,3","46,9"
"USA (1,2)","71,9",,"60,8",30,"61,1","45,4","79,5",39
"Venezuela (1,2)","87,6",,"26,6","23,8","44,6","44,6","79,6","53,1"
"Serbia (1,2)","71,8",,"74,8","10,4","60,8","40,5","64,5","34,4"
"Montenegro (1,056)","67,7",,"82,2","11,7",59,"44,2","57,1","39,8"
"TOTAL (44,82)","69,7","15,4","58,8","22,1","50,5","36,1","68,6","34,3"